"Category","Language","Information_Text"
"اہلیت بی ایس کمپیوٹر سائنس انٹرمیڈیٹ کم از کم پچاس فیصد نمبر گروپ پری انجینئرنگ پری میڈیکل اضافی ریاضی جنرل سائنس مساوات سند","Urdu_Conversational","بی ایس کمپیوٹر سائنس کے لیے درخواست دینے والے امیدوار کا انٹرمیڈیٹ (پارٹ I/II) کم از کم 50% نمبروں کے ساتھ ہونا ضروری ہے۔ امیدوار نے پری انجینئرنگ، پری میڈیکل (جس میں پہلے دو سمسٹر میں 6 کریڈٹ آورز ریاضی لازمی پڑھنی ہوگی)، جنرل سائنس کے مخصوص گروپس یا او/اے لیول مساوات کی سند کے ساتھ پاس کیا ہو۔"
"ایلیجیبلٹی بی ایس سی ایس ایڈمیشن ایچ ایس ایس سی منیمم پچاس پرسنٹ مارکس ریکوائرڈ پری انجینئرنگ پری میڈیکل میتھ کمپلسری جنرل سائنس اے لیولز کینڈیڈیٹس","Urdu_Literal","بی ایس سی ایس ایڈمیشن کے لیے ایچ ایس ایس سی میں منیمم 50% مارکس ریکوائرڈ ہیں۔ پری انجینئرنگ، پری میڈیکل (میتھس کمپلسری کے ساتھ)، جنرل سائنس اور اے لیولز والے کینڈیڈیٹس اپلائی کرنے کے لیے ایلیجیبل ہیں۔"
"کمپیوٹر سائنس داخلہ پڑھائی بارہویں کلاس پچاس فیصد نمبر میڈیکل انجینئرنگ وڈا ریاضی بال پاس ہونا ضروری","Urdu_Parent_Regional","بی ایس کمپیوٹر سائنس وچ داخلے واسطے بارہویں جماعت وچوں کم از کم پچاس فیصد نمبر ہونا لازمی اے۔ جیہڑے بالاں نے میڈیکل کیتا اے اوناں نوں پہلے دو سمسٹراں وچ وکھرا ریاضی پڑھنا پسی، اودے علاوہ انجینئرنگ تے جنرل سائنس والے بال وی فارم بھر سکدے نیں۔"
"اہلیت انڈرگریجویٹ آرٹس سوشل سائنسز ہیومینٹیز انٹرمیڈیٹ کم از کم پینتالیس فیصد نمبر لازمی درکار","Urdu_Conversational","آرٹس، سوشل سائنسز اور ہیومینٹیز کے انڈرگریجویٹ پروگراموں میں داخلے کے لیے امیدوار کا انٹرمیڈیٹ یا مساوی تعلیم میں کم از کم 45 فیصد نمبر حاصل کرنا لازمی ہے۔"
"ایڈمیشن انڈرگریجویٹ آرٹس سوشل سائنسز ہیومینٹیز پروگرامز انٹرمیڈیٹ کم از کم پینتالیس پرسنٹ مارکس لازمی","Urdu_Literal","آرٹس، سوشل سائنسز اور ہیومینٹیز کے پروگرامز میں ایڈمیشن لینے کے لیے انٹرمیڈیٹ میں کم از کم 45% مارکس ہونا لازمی ہے۔"
"آرٹس سوشل سائنسز داخلہ بارہویں جماعت گھٹ توں گھٹ پینتالیس فیصد نمبر پڑھائی لازمی","Urdu_Parent_Regional","آرٹس تے سوشل سائنسز دے شعبیاں وچ داخلے واسطے بارہویں کلاس وچوں گھٹ توں گھٹ پینتالیس فیصد نمبر ہونا لازمی اے۔"
"اهلیت بی ایس آرٹیفیشل انٹیلیجنس انٹرمیڈیٹ کم از کم پچاس فیصد نمبر پری انجینئرنگ پری میڈیکل لازمی ریاضی مدت چار سال آٹھ سمسٹر","Urdu_Conversational","بی ایس آرٹیفیشل انٹیلیجنس کے لیے امیدوار کا انٹرمیڈیٹ کم از کم 50% نمبروں کے ساتھ مکمل ہونا ضروری ہے۔ پری انجینئرنگ، پری میڈیکل (پہلے دو سمسٹر میں 6 کریڈٹ آورز ریاضی کے ساتھ) اور جنرل سائنس کے طلبہ اہل ہیں۔ اس پروگرام کی مدت 4 سال ہے جس میں 8 سمسٹرز شامل ہیں۔"
"ایلیجیبلٹی بی ایس اے آئی ایچ ایس ایس سی منیمم پچاس پرسنٹ مارکس پری انجینئرنگ پری میڈیکل میتھ کمپلسری پروگرام فور ایئرز ایٹ سمسٹرز","Urdu_Literal","بی ایس اے آئی کے لیے ایچ ایس ایس سی میں منیمم 50% مارکس ریکوائرڈ ہیں۔ پری انجینئرنگ، پری میڈیکل (میتھس کمپلسری)، جنرل سائنس اور اے لیولز اسٹوڈنٹس ایلیجیبل ہوتے ہیں۔ پروگرام 4 ایئرز (8 سمسٹرز) کا ہوتا ہے۔"
"آرٹیفیشل انٹیلیجنس داخلہ بارہویں پڑھائی پچاس فیصد نمبر چار سال مدت اٹھ سمسٹر بال پاس ہونا پسی","Urdu_Parent_Regional","بی ایس آرٹیفیشل انٹیلیجنس وچ داخلے واسطے بارہویں وچوں پچاس فیصد نمبر چاہی دے نیں، اہ پڑھائی چار سال دی اے جیدے وچ اٹھ سمسٹر ہوندے نیں، تے میڈیکل والے بالاں نوں ریاضی دا وکھرا کورس پاس کرنا پسی۔"
"اہلیت بی ایس ڈیٹا سائنس انٹرمیڈیٹ کم از کم پچاس فیصد نمبر پری انجینئرنگ پری میڈیکل لازمی ریاضی گروپس مدت چار سال سمسٹرز","Urdu_Conversational","بی ایس ڈیٹا سائنس کے لیے امیدوار کا انٹرمیڈیٹ (HSSC) کم از کم 50% نمبروں کے ساتھ پاس ہونا ضروری ہے۔ پری انجینئرنگ، پری میڈیکل (اضافی ریاضی شرط کے ساتھ) یا جنرل سائنس والے اپلائی کر سکتے ہیں۔ یہ 4 سالہ پروگرام 8 سمسٹرز پر محیط ہے۔"
"ایلیجیبلٹی بی ایس ڈیٹا سائنس ایچ ایس ایس سی منیمم پچاس پرسنٹ مارکس پری انجینئرنگ پری میڈیکل پروگرام فور ایئرز ایٹ سمسٹرز کریڈٹ اورز","Urdu_Literal","بی ایس ڈیٹا سائنس کے لیے ایچ ایس ایس سی میں منیمم 50% مارکس ریکوائرڈ ہیں۔ پری انجینئرنگ، پری میڈیکل (میتھس کمپلسری)، جنرل سائنس اور اے لیولز اسٹوڈنٹس ایلیجیبل ہیں۔ پروگرام 4 ایئرز یعنی 8 سمسٹرز کا ہوتا ہے۔"
"ڈیٹا سائنس داخلہ بارہویں کلاس پچاس فیصد نمبر چار سالہ پڑھائی اٹھ سمسٹر چالان فارم","Urdu_Parent_Regional","ڈیٹا سائنس دے پروگرام وچ داخلے واسطے بارہویں جماعت وچوں گھٹ توں گھٹ پچاس فیصد نمبر لازمی نیں، اہ ڈگری چار سال دی اے جیدے وچ اٹھ سمسٹر پڑھائے جاندے نیں۔"
"اہلیت ایم ایس آرٹیفیشل انٹیلیجنس سولہ سالہ تعلیم کمپیوٹر سائنس ڈگری کم از کم سی جی پی اے محکمانہ ٹیسٹ پاس پچاس فیصد نمبر تھیسس","Urdu_Conversational","ایم ایس آرٹیفیشل انٹیلیجنس کے لیے امیدوار کے پاس 16 سالہ تعلیم (بی ایس کمپیوٹر سائنس/آئی ٹی/سافٹ ویئر انجینئرنگ یا مساوی) ہونی چاہیے، جس میں کم از کم 2.50 سی جی پی اے ہو اور ڈیپارٹمنٹ کا انٹری ٹیسٹ 50 فیصد نمبروں کے ساتھ پاس کرنا لازمی ہو۔"
"ایلیجیبلٹی ایم ایس اے آئی سکسٹین ایئرز ایجوکیشن بی ایس سی ایس آئی ٹی ایس ای منیمم سی جی پی اے ڈیپارٹمنٹل ٹیسٹ پاس کورس ورک تھیسس","Urdu_Literal","ایم ایس اے آئی کے لیے 16 ایئرز ایجوکیشن (بی ایس سی ایس/آئی ٹی/ایس ای) ریکوائرڈ ہوتی ہے ود منیمم 2.50 سی جی پی اے، اور ڈیپارٹمنٹل ٹیسٹ میں 50% مارکس ضروری ہوتے ہیں۔ پروگرام میں کورس ورک اور تھیسس کمپلیٹ کرنی ہوتی ہے۔"
"وڈے داخلے ایم ایس آرٹیفیشل انٹیلیجنس سولہ سال پڑھائی بی ایس ڈگری نمبر انٹری ٹیسٹ پاس کرنا لازمی","Urdu_Parent_Regional","ایم ایس آرٹیفیشل انٹیلیجنس واسطے بال دا پہلے سولہ سال پڑھیا ہونا (بی ایس کیتا ہونا) لازمی اے، یونیورسٹی دا ٹیسٹ پچاس فیصد نمبروں نال پاس کرنا پسی تے ڈگری وچ اچھے نمبر ہونا ضروری نیں۔"
"اہلیت ایم ایس کمپیوٹر سائنس سولہ سالہ تعلیم بی ایس کمپیوٹر سائنس آئی ٹی سافٹ ویئر انجینئرنگ سی جی پی اے محکمانہ ٹیسٹ کورس ورک","Urdu_Conversational","ایم ایس کمپیوٹر سائنس کے لیے امیدوار کے پاس کمپیوٹر سائنس، آئی ٹی یا سافٹ ویئر انجینئرنگ میں 16 سالہ بی ایس یا مساوی ڈگری کم از کم 2.50 سی جی پی اے کے ساتھ ہونی چاہیے، اور یونیورسٹی کا ڈیپارٹمنٹل ٹیسٹ پاس کرنا لازم ہے۔"
"ایلیجیبلٹی ایم ایس سی ایس سکسٹین ایئرز ایجوکیشن بی ایس سی ایس آئی ٹی ایس ای منیمم سی جی پی اے ڈیپارٹمنٹل ٹیسٹ مارکس کورس ورک تھیسس","Urdu_Literal","ایم ایس سی ایس کے لیے 16 ایئرز ایجوکیشن (بی ایس سی ایس/آئی ٹی/ایس ای یا ایم ایس سی آئی ٹی) ریکوائرڈ ہوتی ہے ود منیمم 2.50 سی جی پی اے اور ڈیپارٹمنٹل ٹیسٹ میں 50% مارکس زرووری ہیں۔"
"ایم ایس کمپیوٹر سائنس داخلہ سولہ سالہ ڈگری پاس نمبر یونیورسٹی ٹیسٹ پاس رولے","Urdu_Parent_Regional","ایم ایس کمپیوٹر سائنس وڈی پڑھائی واسطے بی ایس یا ایم ایس سی آئی ٹی دی ڈگری گھٹ توں گھٹ ڈھائی (2.50) سی جی پی اے نال پاس ہونا چاہی دی اے تے شعبے دا ٹیسٹ وی پاس کرنا پسی۔"
