"Language","Information_Text"
"English","BS Computer Science Semester 1 includes courses: Programming Fundamentals (4 CH), ICT (3 CH), Discrete Structures (3 CH), Calculus (3 CH), Functional English (3 CH), and Intro to Marketing (3 CH)."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 1 میں یہ مضامین شامل ہیں: پروگرامنگ فنڈامینٹلز (4 کریڈٹ آورز)، آئی سی ٹی (3 کریڈٹ آورز)، ڈسکریٹ اسٹرکچرز (3 کریڈٹ آورز)، کیلکولس (3 کریڈٹ آورز)، فنکشنل انگلش (3 کریڈٹ آورز)، اور انٹروڈکشن ٹو مارکیٹنگ (3 کریڈٹ آورز)۔"
"Mixed","BSCS Semester 1 mein Programming Fundamentals, ICT, Discrete Structures, Calculus, Functional English aur Intro to Marketing parhaye jate hain."
"English","BS Computer Science Semester 2 covers: Object Oriented Programming (4 CH), Database Systems (4 CH), Digital Logic Design (3 CH), Multivariable Calculus (3 CH), Computer Networks (4 CH), and Tarjuma Quran-I."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 2 میں یہ مضامین شامل ہیں: آبجیکٹ اورینٹڈ پروگرامنگ (4 کریڈٹ آورز)، ڈیٹا بیس سسٹمز (4 کریڈٹ آورز)، ڈیجیٹل لاجک ڈیزائن (3 کریڈٹ آورز)، ملٹی ویری ایبل کیلکولس (3 کریڈٹ آورز)، کمپیوٹر نیٹ ورکس (4 کریڈٹ آورز)، اور ترجمہ قرآن-اوّل۔"
"Mixed","BSCS Semester 2 mein OOP, Database Systems, DLD, Multivariable Calculus, Computer Networks aur Tarjuma-tul-Quran parhaya jata hai."
"English","BS Computer Science Semester 3 focuses on: Data Structures (4 CH), Computer Organization & Assembly (3 CH), Artificial Intelligence (3 CH), Linear Algebra (3 CH), Software Engineering (3 CH), and Stats."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 3 میں یہ مضامین شامل ہیں: ڈیٹا اسٹرکچرز (4 کریڈٹ آورز)، کمپیوٹر آرگنائزیشن اینڈ اسمبلی (3 کریڈٹ آورز)، آرٹیفیشل انٹیلیجنس (3 کریڈٹ آورز)، لینیئر الجبرا (3 کریڈٹ آورز)، سافٹ ویئر انجینئرنگ (3 کریڈٹ آورز)، اور اسٹیٹس۔"
"Mixed","BSCS Semester 3 mein Data Structures, Assembly Language, AI, Linear Algebra aur Software Engineering jaise subjects shamil hain."
"English","BS Computer Science Semester 4 includes: Information Security (3 CH), Theory of Automata (3 CH), Advance DBMS (3 CH), Islamic Studies (2 CH), Applied Physics (3 CH), and Expository Writing (3 CH)."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 4 میں یہ مضامین شامل ہیں: انفارمیشن سیکیورٹی (3 کریڈٹ آورز)، تھیوری آف آٹوماٹا (3 کریڈٹ آورز)، ایڈوانس ڈی بی ایم ایس (3 کریڈٹ آورز)، اسلامیات (2 کریڈٹ آورز)، اپلائیڈ فزکس (3 کریڈٹ آورز)، اور ایکسپوزیٹری رائٹنگ (3 کریڈٹ آورز)۔"
"Mixed","BSCS Semester 4 mein Information Security, Automata, Advance DBMS, Islamic Studies aur Applied Physics parhaya jata hai."
"English","BS Computer Science Semester 5 focuses on core computing systems and initial specialization through electives. Courses include Operating Systems (3 CH), HCI & Computer Graphics (3 CH), Computer Architecture (3 CH), Domain Elective 1 (3 CH), Domain Elective 2 (3 CH), and Introduction to Management (2 CH)."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 5 میں بنیادی کمپیوٹنگ سسٹمز اور ابتدائی اسپیشلائزیشن پر توجہ دی جاتی ہے۔ اس میں آپریٹنگ سسٹمز (3 کریڈٹ آورز)، ہیومن کمپیوٹر انٹریکشن اینڈ کمپیوٹر گرافکس (3 کریڈٹ آورز)، کمپیوٹر آرکیٹیکچر (3 کریڈٹ آورز)، ڈومین الیکٹو 1 (3 کریڈٹ آورز)، ڈومین الیکٹو 2 (3 کریڈٹ آورز)، اور انٹروڈکشن ٹو مینجمنٹ (2 کریڈٹ آورز) شامل ہیں۔"
"Mixed","BSCS Semester 5 mein Operating Systems, HCI & Computer Graphics, Computer Architecture aur electives ke through specialization start hoti hai."
"English","BS Computer Science Semester 6 focuses on compiler construction and distributed systems. Courses include Compiler Construction (3 CH), Parallel & Distributed Computing (3 CH), Domain Elective 3 (3 CH), Domain Elective 4 (3 CH), Domain Elective 5 (3 CH), Domain Elective 6 (3 CH), and Translation of Holy Quran-III (Non Credit)."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 6 میں کمپائلر کنسٹرکشن اور ڈسٹری بیوٹڈ سسٹمز پر توجہ دی جاتی ہے۔ اس میں کمپائلر کنسٹرکشن (3 کریڈٹ آورز)، پیرا لیل اینڈ ڈسٹری بیوٹڈ کمپیوٹنگ (3 کریڈٹ آورز)، ڈومین الیکٹو 3، 4، 5، 6 (ہر ایک 3 کریڈٹ آورز)، اور ترجمہ قرآن-سوئم (نان کریڈٹ) شامل ہیں۔"
"Mixed","BSCS Semester 6 mein Compiler Construction aur Parallel & Distributed Computing ke sath electives cover kiye jate hain."
"English","BS Computer Science Semester 7 focuses on final year project and professional development. Courses include Final Year Project-I (2 CH), Analysis of Algorithms (3 CH), Domain Elective 7 (3 CH), Technical & Business Writing (3 CH), and Entrepreneurship (2 CH)."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 7 میں فائنل ایئر پراجیکٹ اور پروفیشنل ڈیولپمنٹ پر توجہ دی جاتی ہے۔ اس میں فائنل ایئر پراجیکٹ-اوّل (2 کریڈٹ آورز)، اینالیسس آف الگورتھمز (3 کریڈٹ آورز)، ڈومین الیکٹو 7 (3 کریڈٹ آورز)، ٹیکنیکل اینڈ بزنس رائٹنگ (3 کریڈٹ آورز)، اور انٹرپرینیورشپ (2 کریڈٹ آورز) شامل ہیں۔"
"Mixed","BSCS Semester 7 mein FYP, Algorithms, Technical Writing aur Entrepreneurship par focus hota hai."
"English","BS Computer Science Semester 8 concludes the degree with project completion and civic engagement courses. Courses include Final Year Project-II (4 CH), Ideology and Constitution of Pakistan (2 CH), Professional Practices (2 CH), Civics and Community Engagement (2 CH), and Translation of Holy Quran-IV (Non Credit)."
"Urdu","بی ایس کمپیوٹر سائنس سمسٹر 8 میں ڈگری مکمل کی جاتی ہے جس میں فائنل ایئر پراجیکٹ-دوئم (4 کریڈٹ آورز)، نظریہ پاکستان و آئین پاکستان (2 کریڈٹ آورز)، پروفیشنل پریکٹسز (2 کریڈٹ آورز)، سوکس اینڈ کمیونٹی انگیجمنٹ (2 کریڈٹ آورز)، اور ترجمہ قرآن-چہارم (نان کریڈٹ) شامل ہیں۔"
"Mixed","BSCS final semester mein FYP-II complete hota hai aur civic & professional courses cover hote hain."
"English","BS Artificial Intelligence Semester 1 includes courses: Programming Fundamentals (4 CH), Application of ICT (3 CH), Discrete Structures (3 CH), Calculus and Analytic Geometry (3 CH), Functional English (3 CH), and Intro to Marketing (3 CH)."
