"Category","Language","Information_Text"
"داخلہ ٹائم لائن سرگودھا یونیورسٹی فال سمسٹر جولائی اگست ویب سائٹ معلومات","Urdu_Conversational","سرگودھا یونیورسٹی میں داخلے عام طور پر جولائی یا اگست میں فال سمسٹر کے لیے کھلتے ہیں۔ طلباء کو مشورہ دیا جاتا ہے کہ وہ ان مہینوں کے دوران آفیشل ویب سائٹ باقاعدگی سے دیکھتے رہیں۔"
"ایڈمیشن ٹائم لائن فال سمسٹر اوپن جولائی اگست آفیشل ویب سائٹ چیک","Urdu_Literal","UOS میں ایڈمیشنز اکثر جولائی یا اگست میں فال سمسٹر کے لیے سٹارٹ ہوتے ہیں۔ اسٹوڈنٹس کو چاہیے کہ ان منتھس میں آفیشل ویب سائٹ چیک کرتے رہیں۔"
"داخلے کڈوں کھلنے نے سرگودھا یونیورسٹی جولائی اگست دیسی مہینے پتا کرنا ویب سائٹ","Urdu_Parent_Regional","سرگودھا یونیورسٹی دے داخلے عام طور تے جولائی یا اگست دے مہینے وچ کھلدے نیں، بندہ یونیورسٹی دی ویب سائٹ توں پتا کردا رہوے۔"
"میرٹ لسٹ شیڈول فیس جمع کروانا آخری تاریخ تین لسٹیں وقت","Urdu_Conversational","درخواستیں جمع کروانے کی آخری تاریخ کے بعد، یونیورسٹی عام طور پر تین میرٹ لسٹیں لگاتی ہے، اور ہر لسٹ کے بعد فیس جمع کروانے کے لیے تین سے پانچ دن کا وقت دیا جاتا ہے۔"
"میرٹ لسٹ شیڈول ایپلیکیشن ڈیڈ لائن ڈیوٹی فیس سبمشن گیپ ڈیز","Urdu_Literal","ایپلی کیشن ڈیڈ لائن کے بعد، یونیورسٹی تقریبًا 3 میرٹ لسٹیں لگاتی ہے۔ ہر لسٹ کے درمیان فیس جمع کروانے کے لیے 3 سے 5 دن کا ٹائم دیا جاتا ہے۔"
"میرٹ لسٹ کڈوں لگنی اے فیس تارنا دن دھرنا لسٹاں شیڈول","Urdu_Parent_Regional","داخلے فارم بند ہون توں بعد یونیورسٹی والے تین میرٹ لسٹاں لاندے نیں، تے ہر لسٹ توں بعد فیس تارن (جمع کروان لئی) تن توں پنج دن ملدے نیں۔"
"ماسٹر لسٹ ڈسپلے امیدوار ڈیٹا درستگی غلطی ویب سائٹ ریکارڈ","Urdu_Conversational","درخواستیں جمع کروانے کی آخری تاریخ کے بعد تمام امیدواروں کی ایک ماسٹر لسٹ ویب سائٹ پر لگائی جاتی ہے تاکہ اگر کسی کے ریکارڈ میں غلطی ہو تو وہ بروقت درستگی کروا سکے۔"
"ماسٹر لسٹ ڈسپلے کلوزنگ ڈیٹ کینڈیڈیٹ اکاؤنٹ ڈیٹا کریکشن ریکویسٹ","Urdu_Literal","کلوزنگ ڈیٹ کے بعد سب ایپلیکنٹس کی ایک ماسٹر لسٹ لگائی جاتی ہے تاکہ اگر کسی نے ڈیٹا کریکٹ کروانا ہو تو وہ کینڈیڈیٹ اکاؤنٹ سے ریکویسٹ کر سکے۔"
"سارے ناواں والی لسٹ ماسٹر لسٹ غلطی ٹھیک کروانا کمپیوٹر دیسی ناؤ","Urdu_Parent_Regional","فارم جمع ہون توں بعد یونیورسٹی والے سارے بالاں دے ناواں دی اک وڈی ماسٹر لسٹ لاندے نیں، تاں جے کسے دے فارم وچ کوئی غلطی ہووے تے اوہ ٹھیک کروا لوے۔"
"کلاسیں شروع تعلیمی سیشن ستمبر اکتوبر میرٹ لسٹ فائنل","Urdu_Conversational","نئے تعلیمی سیشن کی باقاعدہ کلاسیں عام طور پر میرٹ لسٹوں کے مکمل اور فائنل ہونے کے بعد ستمبر یا اکتوبر میں شروع ہوتی ہیں۔"
"کلاسز اسٹارٹ نیو تعلیمی سیشن ستمبر اکتوبر میرٹ لسٹ فائنلائز","Urdu_Literal","نیو سیشن کی کلاسز اکثر ستمبر یا اکتوبر میں سٹارٹ ہوتی ہیں جب ساری میرٹ لسٹیں فائنلائز ہو جاتی ہیں۔"
"پڑھائی شروع کلاس لگنا ستمبر اکتوبر لسٹاں فائنل کڈوں ہونیاں","Urdu_Parent_Regional","جب ساریاں میرٹ لسٹاں پکی ہو جاندیاں نیں، تے نویں بالاں دی پڑھائی (کلاسیں) ستمبر یا اکتوبر وچ شروع کر دتی جاندی اے۔"
"درستگی وقت ماسٹر لسٹ نمبر ذاتی معلومات غلطی فارم","Urdu_Conversational","ماسٹر لسٹ لگنے کے بعد امیدواروں کو عام طور پر دو سے تین دن کا مخصوص وقت دیا جاتا ہے تاکہ وہ اپنے نمبروں یا ذاتی معلومات میں کسی بھی غلطی کی اصلاح کروا سکیں۔"
"کریکشن ونڈو ماسٹر لسٹ ٹائم فریم ڈیز مارکس پرسنل ڈیٹیلز ایرر","Urdu_Literal","ماسٹر لسٹ لگنے کے بعد کینڈیڈیٹس کو 2-3 دن کا ٹائم ملتا ہے اگر انہوں نے اپنے مارکس یا ڈیٹیلز میں کوئی کریکشن کروانی ہو یا ایرر رپورٹ کرنا ہو۔"
"فارم ٹھیک کروانا نمبر غلطی ناؤ ٹائم ملنا دو تن دن","Urdu_Parent_Regional","وڈّی لسٹ لگن توں بعد بالاں نوں دو توں تن دن دا ٹائم ملدا اے، جے نمبر گھٹ وڈھ لکھے ہون یا ناؤ غلط ہووے تے بندہ ٹھیک کروا سکدا اے۔"
