"Category","Language","Information_Text"
"انڈرگریجویٹ فیس آرٹس سوشل سائنسز بی اے بی ایس سی سمسٹر اخراجات","Urdu_Conversational","آرٹس اور سوشل سائنسز کے انڈرگریجویٹ پروگراموں کے لیے اوسطاً ایک سمسٹر کی فیس پچیس ہزار سے پینتیس ہزار روپے کے درمیان ہوتی ہے۔"
"انڈرگریجویٹ پروگرام فیس آرٹس سوشل سائنس ایوریج سمسٹر فیس رینج","Urdu_Literal","انڈرگریجویٹ پروگرامز (آرٹس اور سوشل سائنسز) کی ایوریج سمسٹر فیس 25,000 سے 35,000 روپے کے درمیان ہوتی ہے۔"
"بی اے بی ایس سی آرٹس پڑھائی فیس خرچہ سمسٹر سرکار","Urdu_Parent_Regional","آرٹس تے سوشل سائنس دے بی اے بی ایس سی ورگے ڈگری کورساں دی اک سمسٹر دی فیس کوئی 25,000 توں لے کے 35,000 روپے تیکر ہوندی اے"
"کمپیوٹنگ فیس بی ایس کمپیوٹر سائنس آئی ٹی سافٹ ویئر انجینئرنگ سمسٹر","Urdu_Conversational","کمپیوٹنگ پروگرامز جیسے بی ایس سی ایس، بی ایس آئی ٹی اور بی ایس سافٹ ویئر انجینئرنگ کے ریگولر سیشن کی فیس تقریباً پینتیس ہزار سے پینتالیس ہزار روپے فی سمسٹر ہے۔"
"کمپیوٹر سائنس بی ایس سی ایس آئی ٹی سافٹ ویئر انجینئرنگ ریگولر سیشن فیس","Urdu_Literal","بی ایس سی ایس، بی ایس آئی ٹی اور بی ایس ایس ای جیسے کمپیوٹنگ پروگرامز کی ریگولر سمسٹر فیس اپروکسی میٹلی 35,000 سے 45,000 روپے تک ہوتی ہے۔"
"کمپیوٹر دی پڑھائی فیس بی ایس سی ایس آئی ٹی سافٹ ویئر انجینئرنگ سمسٹر خرچہ","Urdu_Parent_Regional","اے جڑے کمپیوٹر دے کورس نیں ناں جیسے بی ایس سی ایس، آئی ٹی تے سافٹ ویئر انجینئرنگ، ایہناں دی صبح دی (ریگولر) فیس کوئی 35,000 توں 45,000 روپے تک ہوندی اے"
"سیلف سپورٹ فیس ایوننگ پروگرام شام کی کلاسیں اضافی اخراجات","Urdu_Conversational","سیلف سپورٹ یعنی شام کے پروگراموں کی فیسیں عام طور پر متعلقہ شعبے کے لحاظ سے صبح کے ریگولر سیشن کے مقابلے میں پچاس سے سو فیصد تک زیادہ ہوتی ہیں۔"
"سیلف سپورٹ ایوننگ پروگرام فیس ریگولر مارننگ سیشن پرسنٹیج زیادہ","Urdu_Literal","سیلف سپورٹ (ایوننگ) پروگرام کی فیسیں نارملی ریگولر مارننگ سیشن کی فیسوں سے 50% سے 100% تک زیادہ ہوتی ہیں۔"
"شام دی کلاسیں سیلف سپورٹ ایوننگ فیس ڈبل خرچہ وکھرا","Urdu_Parent_Regional","شام دے جڑے سیلف سپورٹ والے داخلے ہوندے نیں، اوہناں دی فیس صبح والیاں توں کوئی ادھو ادھ یا فر دگنی (50 توں 100 فیصد) زیادہ ہوندی اے"
"فارمیسی فیس فارم ڈی میڈیکل ادویات سمسٹر اخراجات","Urdu_Conversational","فارم ڈی (فارمیسی) پروگرام کے ریگولر سیشن کے لیے فی سمسٹر فیس تقریباً چالیس ہزار سے پچاس ہزار روپے تک مقرر ہے۔"
