"Category","Language","Information_Text"
"سرگودھا یونیورسٹی میرٹ اسکالرشپ اعلیٰ تعلیمی کارکردگی اعزاز","Urdu_Conversational","سرگودھا یونیورسٹی میرٹ اسکالرشپ ان طلباء کو دی جاتی ہے جو اپنے متعلقہ تعلیمی پروگرام میں شاندار کارکردگی کا مظاہرہ کرتے ہیں۔"
"سرگودھا یونیورسٹی میرٹ اسکالرشپ آؤٹ اسٹینڈنگ پرفارمنس اسٹوڈنٹس ایوارڈ","Urdu_Literal","سرگودھا یونیورسٹی میرٹ اسکالرشپ ان اسٹوڈنٹس کو ملتی ہے جو اپنی اسٹڈیز میں آؤٹ اسٹینڈنگ اکیڈمک پرفارمنس شو کرتے ہیں۔"
"یونیورسٹی دا میرٹ انعام پڑھائی وچ ٹاپ کرنا بال اعزاز","Urdu_Parent_Regional","سرگودھا یونیورسٹی ولوں اوہناں بچیاں نوں میرٹ والا انعام ملدا اے جیہڑے اپنی پڑھائی وچ بہت ودھیا نمبر لیندے نیں۔"
"نیڈ بیسڈ اسکالرشپ سرگودھا یونیورسٹی مالی مدد غریب طلباء","Urdu_Conversational","سرگودھا یونیورسٹی نیڈ بیسڈ اسکالرشپ ان طلباء کو مالی معاونت فراہم کرتی ہے جو تعلیم جاری رکھنے کے لیے مالی مشکلات کا سامنا کر رہے ہوں۔"
"نیڈ بیسڈ اسکالرشپ فنانشل سپورٹ غریب اسٹوڈنٹس تعلیمی اخراجات","Urdu_Literal","نیڈ بیسڈ اسکالرشپ ان اسٹوڈنٹس کے لیے ہوتی ہے جو فنانشل پرابلمز کی وجہ سے اپنی اسٹڈیز کنٹینیو نہیں کر سکتے۔"
"لوڑ مند بچیاں لئی پیسے یونیورسٹی ولوں غریب گھرانہ پڑھائی","Urdu_Parent_Regional","جیہڑے بچیاں دے گھر دے حالات ٹھیک نہیں، یونیورسٹی اوہناں نوں پڑھائی جاری رکھن واسطے نیڈ بیسڈ (لوڑ مند) وظیفہ دیندی اے۔"
"فیس کنسیشن یونیورسٹی ڈسکاؤنٹ رعایت مالی معاونت","Urdu_Conversational","فیس کنسیشن یونیورسٹی کی طرف سے اہل طلباء کو فراہم کی جانے والی فیس میں جزوی رعایت کا پروگرام ہے۔"
"فیس کنسیشن یونیورسٹی پالیسی فیس ڈسکاؤنٹ فنانشل سپورٹ","Urdu_Literal","فیس کنسیشن میں اسٹوڈنٹس کو یونیورسٹی پالیسی کے مطابق فیس میں ڈسکاؤنٹ دیا جاتا ہے۔"
"فیس وچ رعایت بچیاں دے پیسے گھٹ کرنا یونیورسٹی رعایت","Urdu_Parent_Regional","فیس کنسیشن دا مطلب اے کہ یونیورسٹی پالیسی دے حساب نال بچیاں دی فیس وچ کجھ پیسے گھٹ (رعایت) کر دیندی اے۔"
"ایچ ای سی نیڈ بیسڈ اسکالرشپ حکومتی مالی مدد","Urdu_Conversational","ایچ ای سی (HEC) نیڈ بیسڈ اسکالرشپ مالی طور پر کمزور طلباء کو پاکستان میں اعلیٰ تعلیم جاری رکھنے کے لیے حکومتی مالی معاونت فراہم کرتی ہے۔"
"ایچ ای سی نیڈ بیسڈ اسکالرشپ فنانشل سپورٹ ہائیر ایجوکیشن","Urdu_Literal","HEC نیڈ بیسڈ اسکالرشپ ان اسٹوڈنٹس کے لیے ہوتی ہے جو فنانشلی ویک ہوتے ہیں اور ہائیر ایجوکیشن کنٹینیو کرنا چاہتے ہیں۔"
"سرکاری وظیفہ ایچ ای سی غریب بچیاں لئی اعلیٰ تعلیم خرچہ","Urdu_Parent_Regional","حکومت ولوں ایچ ای سی دا اک وظیفہ ہوندا اے جیہڑا اوہناں بچیاں نوں ملدا اے جیہڑے غریب نیں پر اگے پڑھنا چاہندے نیں۔"
"پی ای ای ایف اسکالرشپ پنجاب ہونہار طلباء میرٹ","Urdu_Conversational","پی ای ای ایف (PEEF) اسکالرشپ پنجاب کے ہونہار طلباء کو میرٹ اور گھریلو آمدنی کے معیار کی بنیاد پر دی جاتی ہے۔"
"پی ای ای ایف اسکالرشپ پنجاب ٹیلنٹڈ اسٹوڈنٹس میرٹ انکم","Urdu_Literal","PEEF اسکالرشپ پنجاب کے ٹیلنٹڈ اسٹوڈنٹس کو میرٹ اور انکم کرائٹیریا کے بیس پر ملتی ہے۔"
"پنجاب حکومت دا وظیفہ ہونہار بچیاں لئی پیسے تے قابلیت","Urdu_Parent_Regional","پی ای ای ایف وظیفہ پنجاب دے اوہناں بچیاں نوں ملدا اے جیہڑے پڑھائی وچ تکھے نیں تے اوہناں دے گھر دی کمائی گھٹ اے۔"
"بیت المال اسکالرشپ مستحق طلباء مالی معاونت فلاحی فنڈ","Urdu_Conversational","پاکستان بیت المال اسکالرشپ مستحق طلباء کو مالی معاونت فراہم کرتی ہے جو بیت المال کے فلاحی فنڈ سے دی جاتی ہے۔"
"بیت المال اسکالرشپ ڈیزرونگ اسٹوڈنٹس فنانشل سپورٹ فنڈ","Urdu_Literal","بیت المال اسکالرشپ ڈیزرونگ اسٹوڈنٹس کو فنانشل سپورٹ پرووائیڈ کرتی ہے۔"
"بیت المال دا وظیفہ غریب لوڑ مند پڑھائی خرچہ مدد","Urdu_Parent_Regional","بیت المال ولوں غریب تے لوڑ مند بچیاں نوں پڑھائی دا خرچہ دین لئی وظیفہ دتا جاندا اے۔"
"ایم او آر اے اسکالرشپ زکوٰۃ فنڈ مذہبی امور","Urdu_Conversational","ایم او آر اے (MORA) اسکالرشپ وزارت مذہبی امور کے زکوٰۃ فنڈ کے ذریعے اہل اور مستحق طلباء کو دی جاتی ہے۔"
"ایم او آر اے اسکالرشپ زکوٰۃ فنڈ فنانشل سپورٹ ایلیجیبل اسٹوڈنٹس","Urdu_Literal","MORA اسکالرشپ زکوٰۃ فنڈ کے تھرو ایلیجیبل اسٹوڈنٹس کو فنانشل سپورٹ دیتی ہے۔"
"زکوٰۃ دا وظیفہ مذہبی امور وزارت غریب بچیاں مدد","Urdu_Parent_Regional","اے زکوٰۃ دا وظیفہ ہوندا اے جیہڑا مذہبی امور والی وزارت ولوں غریب بچیاں نوں پڑھن لئی ملدا اے۔"
"ایچ ای سی انڈیجینس اسکالرشپ ریسرچ پوسٹ گریجویٹ","Urdu_Conversational","ایچ ای سی انڈیجینس اسکالرشپ پوسٹ گریجویٹ طلباء اور ریسرچرز کو اعلیٰ تعلیم اور تحقیق میں معاونت کے لیے دی جاتی ہے۔"
"ایچ ای سی انڈیجینس اسکالرشپ پوسٹ گریجویٹ ریسرچ اسٹوڈنٹس","Urdu_Literal","HEC انڈیجینس اسکالرشپ پوسٹ گریجویٹ اور ریسرچ اسٹوڈنٹس کے لیے ہوتی ہے۔"
"ایچ ای سی انڈیجینس ریسرچ وظیفہ وڈی ڈگری پڑھائی مدد","Urdu_Parent_Regional","اے ایچ ای سی دا وظیفہ اوہناں بچیاں لئی اے جیہڑے ایم فل یا پی ایچ ڈی ورگی وڈی ڈگری تے ریسرچ کر رہے نیں۔"
