"Category","Language","Information_Text"
"آن لائن داخلہ طریقہ کار اکاؤنٹ موبائل نمبر فیس چالان حبیب بینک فارم جمع","Urdu_Conversational","یونیورسٹی میں داخلے کا پورا عمل آن لائن ہوتا ہے۔ اپلائی کرنے کے لیے ایڈمیشنز ڈاٹ ایس یو ڈاٹ ای ڈی یو ڈاٹ پی کے پر جائیں۔ امیدوار کو سب سے پہلے اپنے موبائل نمبر کے ذریعے اکاؤنٹ بنانا ہوتا ہے، پھر اپنی ذاتی اور تعلیمی معلومات فارم میں بھرنی ہوتی ہیں۔ اس کے بعد ایچ بی ایل یعنی حبیب بینک کا فیس چالان جنریٹ کر کے فیس جمع کروائیں، چالان کی اسکین شدہ رسید پورٹل پر اپ لوڈ کریں اور آخر میں فارم سبمٹ کر دیں۔"
"آن لائن ایڈمیشن اپلائی پورٹل پرسنل اکیڈمک ڈیٹیلز چالان جنریٹ ایچ بی ایل فیس پے رسیپٹ اپ لوڈ ایپلیکیشن سبمٹ","Urdu_Literal","سرگودھا یونیورسٹی میں ایڈمیشن آن لائن ایڈمیشنز ڈاٹ ایس یو ڈاٹ ای ڈی یو ڈاٹ پی کے کے تھرو ہوتا ہے۔ اکاؤنٹ بنا کر پرسنل اور اکیڈمک ڈیٹیلز فل کرنی ہوتی ہیں، چالان جنریٹ کر کے ایچ بی ایل میں فیس پے کرنی ہوتی ہے اور رسیپٹ اپ لوڈ کر کے ایپلیکیشن سبمٹ کرنی ہوتی ہے۔"
"یونیورسٹی داخلہ طریقہ انٹرنیٹ اکاؤنٹ پڑھائی تعلیمی معلومات بینک چالان رسید کمپیوٹر فوٹو","Urdu_Parent_Regional","یونیورسٹی وچ داخلے دا سارا طریقہ آن لائن انٹرنیٹ تے اے۔ سب توں پہلے موبائل نمبر نال شناختی اکاؤنٹ بنانا پیندا اے، فیر اپنی پڑھائی تے تعلیمی معلومات فارم وچ لکھنی ہوندیاں نیں، بینک چالان جمع کرا کے رسید کمپیوٹر تے اپ لوڈ کرنی اے۔"
"رجسٹریشن مراحل سائن اپ پروفائل تعلیمی ریکارڈ پروسیسنگ فیس بینک جمع پیڈ چالان","Urdu_Conversational","رجسٹریشن کا طریقہ یہ ہے کہ آپ ایڈمیشنز پورٹل پر جا کر اپنے موبائل نمبر سے سائن اپ کریں۔ اس کے بعد اپنی پروفائل مکمل کریں، اپنے تعلیمی ریکارڈ یا نمبرز درج کریں، پروسیسنگ فیس بینک میں جمع کروائیں اور داخلے کا عمل مکمل کرنے کے لیے پیڈ چالان کی کاپی وہاں اپ لوڈ کر دیں۔"
"رجسٹر سائن اپ پروفائل کمپلیٹ اکیڈمک ریکارڈز اینٹر فیس پے پیڈ چالان اپ لوڈ پورٹل","Urdu_Literal","رجسٹر ہونے کے لیے ایڈمیشنز ڈاٹ ایس یو ڈاٹ ای ڈی یو ڈاٹ پی کے پر جائیں، موبائل نمبر سے سائن اپ کریں، پروفائل کمپلیٹ کریں، اکیڈمک ریکارڈز اینٹر کریں اور فیس پے کر کے پیڈ چالان اپ لوڈ کریں۔"
"رجسٹر ہوون طریقہ پورٹل سائن اپ شناختی ریکارڈ پڑھائی نمبر فیس تارو چالان کاپی کمپیوٹر","Urdu_Parent_Regional","رجسٹر ہوون واسطے پورٹل تے جا کے موبائل نمبر توں سائن اپ کرو، اپنی پروفائل تے پڑھائی دا سارا ریکارڈ لکھو، فیس تار کے پیڈ چالان دی کاپی کمپیوٹر تے اپ لوڈ کر دیو۔"
"ضروری دستاویزات فزیکل ویریفیکیشن اصل ڈگری ڈی ایم سی اسناد شناختی کارڈ بی فارم حلف نامہ تصدیق","Urdu_Conversational","داخلے کے لیے ضروری دستاویزات میں آپ کی اصل آخری ڈگری یا ڈی ایم سی، آن لائن فارم کا پرنٹ، پچھلی تمام تعلیمی اسناد کی اٹیسٹڈ یعنی تصدیق شدہ کاپیاں، امیدوار کا شناختی کارڈ یا بی فارم، والد یا سرپرست کا شناختی کارڈ اور دستخط شدہ حلف نامہ شامل ہیں۔"
"اوریجنل ڈگری ڈی ایم سی پرنٹڈ ایپلیکیشن فارم اکیڈمک سرٹیفکیٹس اٹیسٹڈ کاپیز سی این آئی سی فادر سائنڈ ایفی ڈیوٹ","Urdu_Literal","اوریجنل ڈگری یا ڈی ایم سی، پرنٹڈ ایپلیکیشن فارم، اکیڈمک سرٹیفکیٹس کی اٹیسٹڈ کاپیز، اپنا سی این آئی سی یا بی فارم، فادر کا سی این آئی سی اور سائنڈ ایفی ڈیوٹ فزیکل ویریفیکیشن کے لیے ضروری ہیں۔"
"اصلی ڈگریاں رزلٹ کارڈ فارم پرنٹ پرانے تعلیمی کاغذات کاپیاں شناختی کارڈ ابا جی اقرار نامہ","Urdu_Parent_Regional","داخلے واسطے اصلی ڈگریاں یا رزلٹ کارڈ، فارم دا پرنٹ، پرانے تعلیمی کاغذات دیاں تصدیق شدہ کاپیاں، طالب علم دا شناختی کارڈ یا بی فارم، ابا جی دا شناختی کارڈ تے اقرار نامہ نال لانا لازمی اے۔"
"غیر ملکی تعلیمی اسناد مساوات سند اہلیت تصدیق آئی بی سی سی لازمی فراہم","Urdu_Conversational","جی ہاں، ایسے امیدوار جنہوں نے او لیول یا اے لیول جیسے غیر ملکی تعلیمی نظام سے پڑھا ہو، انہیں داخلے کے وقت اپنی اہلیت ثابت کرنے کے لیے آئی بی سی سی سے جاری کردہ ایکوئیلنس سرٹیفکیٹ یعنی مساوات کی سند لازمی فراہم کرنی ہوگی۔"
"او لیول اے لیول فارن کوالیفیکیشنز کینڈیڈیٹس ایلیجیبلٹی ویریفائی ایکوئیلنس سرٹیفکیٹ دینا لازمی","Urdu_Literal","او لیول یا اے لیول کی فارن کوالیفیکیشنز رکھنے والے کینڈیڈیٹس کے لیے ایلیجیبلٹی ویریفائی کروانے کے لیے ایکوئیلنس سرٹیفکیٹ دینا لازمی ہے۔"
"باہرلے ملک پڑھائی او لیول اے لیول بالاں داخلہ تصدیق ایکوئیلنس سرٹیفکیٹ پسی","Urdu_Parent_Regional","جی ہاں، جیہڑے بالاں نے باہرلے ملک دا او لیول یا اے لیول کیتا اے، اوناں نوں داخلے ویلے اپنی پڑھائی دی تصدیق واسطے ایکوئیلنس سرٹیفکیٹ دینا پسی۔"
"تعلیمی تفصیلات جنریٹ چالان بٹن کلک پرنٹ حبیب بینک برانچ فیس جمع رسید اسکین اکاؤنٹ اپ لوڈ","Urdu_Conversational","پورٹل پر اپنی تعلیمی تفصیلات لکھنے کے بعد جنریٹ چالان کے بٹن پر کلک کریں۔ اس چالان کا پرنٹ لیں، کسی بھی ایچ بی ایل یعنی حبیب بینک کی برانچ میں فیس جمع کروائیں اور پیڈ رسید کی اسکین کاپی دوبارہ اپنے آن لائن اکاؤنٹ پر اپ لوڈ کر دیں۔"
"اکیڈمک ڈیٹیلز اینٹر جنریٹ چالان کلک پرنٹ ایچ بی ایل برانچ پے رسیپٹ پورٹل اپ لوڈ","Urdu_Literal","اکیڈمک ڈیٹیلز اینٹر کرنے کے بعد جنریٹ چالان پر کلک کریں۔ اسے پرنٹ کر کے کسی بھی ایچ بی ایل برانچ میں پے کریں اور رسیپٹ پورٹل پر اپ لوڈ کر دیں۔"
"فارم پڑھائی نمبر کمپیوٹر چالان پرنٹ ایچ بی ایل بینک فیس تارو پیڈ رسید فوٹو اکاؤنٹ","Urdu_Parent_Regional","فارم تے پڑھائی نمبر لکھن توں بعد کمپیوٹر توں چالان کڈو، اوہدا پرنٹ لے کے ایچ بی ایل بینک دی کسے وی برانچ وچ فیس تارو تے پیڈ رسید دی فوٹو واپس اپنے اکاؤنٹ تے اپ لوڈ کرو۔"
"فارم جمع تبدیلی ترمیم براہ راست ایڈٹنگ یونیورسٹی ویب سائٹ ماسٹر میرٹ لسٹ انتظار درستگی درخواست","Urdu_Conversational","ایک بار فارم جمع ہونے کے بعد اس میں براہِ راست کوئی تبدیلی یا ایڈٹنگ نہیں کی جا سکتی۔ امیدواروں کو یونیورسٹی کی ویب سائٹ پر ماسٹر میرٹ لسٹ لگنے کا انتظار کرنا ہوگا، اس کے بعد وہ اپنے پورٹل اکاؤنٹ کے ذریعے ڈیٹا درست کرنے کی درخواست بھیج سکتے ہیں۔"
"سبمٹ ایپلیکیشن ایڈٹ نہیں ہو سکتی یونیورسٹی ویب سائٹ ماسٹر لسٹس ویٹ پورٹل اکاؤنٹ ڈیٹا کریکشن ریکویسٹ","Urdu_Literal","سبمٹ کی ہوئی ایپلیکیشن ایڈٹ نہیں ہو سکتی۔ یونیورسٹی ویب سائٹ پر ماسٹر لسٹس لگنے کا ویٹ کریں اور پھر پورٹل اکاؤنٹ سے ڈیٹا کریکشن کی ریکویسٹ بھیجیں۔"
"فارم جمع سدھی تبدیلی نہیں ہو سکدی ویب سائٹ ماسٹر لسٹ انتظار کمپیوٹر پورٹل غلطی ٹھیک کرنا","Urdu_Parent_Regional","فارم جمع کران توں بعد اوہدے وچ سدھی سدھی کوئی تبدیلی نہیں ہو سکدی۔ تسی یونیورسٹی دی ویب سائٹ تے ماسٹر لسٹ لگن دا انتظار کرو، فیر اپنے کمپیوٹر پورٹل توں غلطی ٹھیک کرن دی درخواست بھیجو۔"
"ایک سے زیادہ پروگرامز اپلائی الگ آن لائن درخواست پروسیسنگ فیس چالان علیحدہ جمع","Urdu_Conversational","اگر آپ ایک سے زیادہ پروگرامز میں اپلائی کرنا چاہتے ہیں، تو آپ کو ہر پروگرام کے لیے الگ سے آن لائن درخواست جمع کرانی ہوگی اور ہر بار الگ سے پروسیسنگ فیس کا چالان جمع کروانا ہوگا۔"
"ملٹی پل پروگرامز اپلائی آن لائن ایپلیکیشن سبمٹ پروسیسنگ فیس پے چالان","Urdu_Literal","ہر پروگرام کے لیے الگ سے آن لائن ایپلیکیشن سبمٹ کرنی ہوگی اور ہر بار الگ سے پروسیسنگ فیس پے کرنی ہوگی۔"
"اک توں زیادہ شعبیاں فارم جمع پڑھائی پروگرام وکھرا فارم بھرنا فیس تارنی پسی","Urdu_Parent_Regional","آہو، تسی اک توں زیادہ شعبیاں وچ فارم جمع کرا سکدے او، پر ہر پڑھائی دے پروگرام واسطے وکھرا فارم بھرنا پسی تے وکھری فیس تارنی پسی۔"
"آخری تاریخ یونیورسٹی ویب سائٹ پروگرام وائز ماسٹر لسٹیں تصدیق ڈیٹا غلطی پورٹل درخواست","Urdu_Conversational","داخلے کی آخری تاریخ گزرنے کے بعد یونیورسٹی کی آفیشل ویب سائٹ پر پروگرام کے لحاظ سے ماسٹر لسٹیں لگائی جاتی ہیں۔ امیدواروں کو یہ لسٹیں لازمی چیک کرنی چاہئیں تاکہ وہ تسلی کر لیں کہ ان کا ڈیٹا ٹھیک ہے، اور کسی بھی غلطی کی صورت میں پورٹل سے تصحیح کی ریکویسٹ بھیجیں۔"
"کلوزنگ ڈیٹ یونیورسٹی ویب سائٹ پروگرام وائز ماسٹر لسٹس کینڈیڈیٹس ڈیٹا چیک غلطی پورٹل ٹھیک","Urdu_Literal","کلوزنگ ڈیٹ کے بعد یونیورسٹی ویب سائٹ پر پروگرام وائز ماسٹر لسٹس لگتی ہیں۔ کینڈیڈیٹس کو اپنا ڈیٹا چیک کرنا ہوتا ہے اور کوئی غلطی ہو تو پورٹل سے ٹھیک کروانا ہوتا ہے۔"
"آخری تاریخ لنگھن یونیورسٹی ویب سائٹ ماسٹر لسٹاں سٹوڈنٹ ڈیٹا چیک غلطی پورٹل ٹھیک کرانا","Urdu_Parent_Regional","داخلے دی آخری تاریخ توں بعد یونیورسٹی اپنی ویب سائٹ تے ماسٹر لسٹاں لا دیندی اے۔ سٹوڈنٹ نوں چاہی دا اے کہ اپنا سارا ڈیٹا چیک کرے، جے کوئی غلطی ہووے تے پورٹل توں ٹھیک کرا لوے۔"
"میرٹ لسٹ شیڈول پراسپیکٹس نوٹیفیکیشن یونیورسٹی آفیشل ویب سائٹ باقاعدگی چیک داخلہ تاریخ","Urdu_Conversational","امیدواروں کو چاہیے کہ وہ پراسپیکٹس یا نوٹیفیکیشن میں دیے گئے ایڈمیشن شیڈول کے مطابق یونیورسٹی کی آفیشل ویب سائٹ پر میرٹ لسٹیں باقاعدگی سے چیک کریں۔"
"میرٹ لسٹس یونیورسٹی آفیشل ویب سائٹ چیک شیڈول پراسپیکٹس ایڈمیشن نوٹیفیکیشنز موجود","Urdu_Literal","میرٹ لسٹس یونیورسٹی کی آفیشل ویب سائٹ پر چیک کریں۔ شیڈول پراسپیکٹس یا ویب سائٹ پر موجود ایڈمیشن نوٹیفیکیشنز میں دیا ہوتا ہے۔"
"میرٹ لسٹاں لگن ٹائم شیڈول یونیورسٹی پکی ویب سائٹ داخلہ فارم کتاب مل جاسی","Urdu_Parent_Regional","میرٹ لسٹاں لگن دا سارا ٹائم شیڈول تانوں یونیورسٹی دی پکی ویب سائٹ توں یا داخلہ فارم والی کتاب توں مل جاسی۔"
"نام میرٹ لسٹ اصل ڈاکومنٹس رزلٹ کارڈ شناختی کارڈ حلف نامہ متعلقہ ڈیپارٹمنٹ فزیکل ویریفیکیشن اصل تصدیق فیس","Urdu_Conversational","جب آپ کا نام میرٹ لسٹ میں آ جائے تو اپنے تمام اصل ڈاکومنٹس بشمول رزلٹ کارڈ، شناختی کارڈ اور ضروری حلف نامے کے ساتھ متعلقہ ڈیپارٹمنٹ جائیں تاکہ آپ کے کاغذات کی فزیکل ویریفیکیشن یعنی اصل تصدیق ہو سکے اور آپ فیس جمع کروا سکیں۔"
"میرٹ لسٹ نام ریلیونٹ ڈیپارٹمنٹ اوریجنل ڈگریز سی این آئی سی ایفی ڈیوٹ ویریفیکیشن فیس پیمنٹ","Urdu_Literal","میرٹ لسٹ میں نام آنے پر اپنے ریلیونٹ ڈیپارٹمنٹ جائیں۔ وہاں اوریجنل ڈگریز، سی این آئی سی اور ایفی ڈیوٹ لے کر جائیں تاکہ ویریفیکیشن اور فیس پیمنٹ ہو سکے۔"
"میرٹ لسٹ نام اصلی کاغذات شناختی کارڈ اقرار نامہ یونیورسٹی شعبے پکی تصدیق فیس تار سکو","Urdu_Parent_Regional","جب میرٹ لسٹ وچ نام آ جاوے، تے اپنے اصلی کاغذات، شناختی کارڈ تے اقرار نامہ لے کے یونیورسٹی دے شعبے وچ جاؤ تاکہ اوناں دی پکی تصدیق ہو سکے تے تسی فیس تار سکو۔"
"رجسٹریشن پورٹل دو اقسام لسٹیں ماسٹر میرٹ لسٹ فائنل میرٹ لسٹ پوزیشن نمبر دستیاب سیٹیں شارٹ لسٹڈ","Urdu_Conversational","سرگودھا یونیورسٹی کے پورٹل پر دو طرح کی لسٹیں ہوتی ہیں۔ ایک ماسٹر میرٹ لسٹ ہوتی ہے جس میں اپلائی کرنے والے تمام سٹوڈنٹس کے نام اور ان کا میرٹ نمبر ہوتا ہے، اور دوسری فائنل میرٹ لسٹ ہوتی ہے جس میں دستیاب سیٹوں کے حساب سے شارٹ لسٹڈ امیدواروں کے نام ہوتے ہیں۔"
"یو او ایس پورٹل دو ٹائپس لسٹس ماسٹر میرٹ لسٹ ایپلیکنٹس میرٹ نمبر میرٹ لسٹ سلیکٹڈ کینڈیڈیٹس سیٹس","Urdu_Literal","یو او ایس پورٹل پر دو ٹائپس کی لسٹس ہوتی ہیں: ماسٹر میرٹ لسٹ جس میں سب ایپلیکنٹس اور ان کا میرٹ نمبر ہوتا ہے اور میرٹ لسٹ جس میں سیٹس کے مطابق سلیکٹڈ کینڈیڈیٹس ہوتے ہیں۔"
