"Category","Language","Information_Text"
"میرٹ کیلکولیشن انڈرگریجویٹ پروگرام میٹرک انٹرمیڈیٹ فیصد وزن","Urdu_Conversational","انڈرگریجویٹ پروگراموں کے لیے بنیادی میرٹ کا حساب اس طرح لگایا جاتا ہے کہ میٹرک کے نمبروں کا 40 فیصد اور انٹرمیڈیٹ کے نمبروں کا 60 فیصد حصہ شامل ہوتا ہے۔"
"میرٹ کیلکولیشن انڈرگریجویٹ پروگرام بیسک میرٹ میٹرک مارکس انٹرمیڈیٹ ویٹیج","Urdu_Literal","انڈرگریجویٹ پروگرامز کا بیسک میرٹ 40% میٹرک مارکس اور 60% انٹرمیڈیٹ مارکس کے ویٹیج سے کیلکولیٹ کیا جاتا ہے۔"
"میرٹ کیسے بننا اے نمبر میٹرک بارہویں کلاس فیصد حساب دیسی","Urdu_Parent_Regional","یونیورسٹی وچ داخلے دا میرٹ انج بن دا اے کہ 40 فیصد نمبر میٹرک دے چکن گے تے 60 فیصد نمبر بارہویں (انٹر) دے شامل کرن گے۔"
"میرٹ فارمولا مجموعی فیصد میٹرک انٹرمیڈیٹ حاصل کردہ نمبر","Urdu_Conversational","فارمولا: [(میٹرک کے حاصل کردہ نمبر تقسیم کل نمبر) ضرب 40] جمع [(انٹرمیڈیٹ کے حاصل کردہ نمبر تقسیم کل نمبر) ضرب 60] برابر ہے مجموعی فیصد (ایگریگیٹ)۔"
"میرٹ فارمولا میٹرک ابٹینڈ انٹر ٹوٹل مارکس ایگریگیٹ پرسنٹیج","Urdu_Literal","فارمولا: [(Matric Obtained / Total) x 40] + [(Inter Obtained / Total) x 60] مل ملا کر ایگریگیٹ پرسنٹیج مارکس بنتے ہیں۔"
"فارمولا حساب کتاب نمبر ایگریگیٹ فیصد کڈنا طریقہ","Urdu_Parent_Regional","حساب دا طریقہ ایہہ وے: میٹرک دے نمبر ونڈو کل نمبر تے ضرب دیو 40 نال، فیر انٹر دے نمبر ونڈو کل نمبر تے ضرب دیو 60 نال، دونویں جمع کر کے پورا میرٹ نکل آوندا اے۔"
"حافظ قرآن اضافی نمبر حتمی میرٹ ٹرمینل ڈگری ٹیسٹ","Urdu_Conversational","حافظ قرآن امیدواروں کے لیے حتمی میرٹ کی گنتی سے پہلے ان کی انٹرمیڈیٹ یا آخری ڈگری کے حاصل کردہ نمبروں میں 20 اضافی نمبر جمع کیے جائیں گے۔"
"حافظ قرآن کینڈیڈیٹس ٹرمینل ڈگری مارکس ایکسٹرا ایڈ میرٹ","Urdu_Literal","حافظ قرآن کینڈیڈیٹس کے ٹرمینل ڈگری مارکس میں 20 ایکسٹرا مارکس ایڈ کیے جاتے ہیں فائنل میرٹ کیلکولیٹ کرنے سے پہلے۔"
"حافظ قرآن پکا حافظ پنڈ دیسی اضافی ویہہ نمبر پکے","Urdu_Parent_Regional","جیہڑے بچے حافظِ قرآن نیں، اوہناں دا میرٹ بنان توں پہلاں اوہناں دی آخری ڈگری دے نمبروں وچ 20 نمبر وادھو (اضافی) دتے جاندے نیں۔"
"تعلیمی وقفہ گیپ ایئر پالیسی نمبر منہائی کٹوتی سالانہ تاخیر","Urdu_Conversational","تعلیمی وقفے (Gap) کی صورت میں، آخری ڈگری کے بعد ہر ایک سال کی تاخیر پر مجموعی میرٹ مارکس میں سے 2 نمبر وضع کیے جاتے ہیں، جو زیادہ سے زیادہ 2 سال تک ممکن ہے۔"
"گیپ ایئر پالیسی ایگریگیٹ میرٹ مارکس ڈڈکٹ میکسیمم الاؤ","Urdu_Literal","ہر سال کے گیپ کے لیے ایگریگیٹ میرٹ سے 2 مارکس ڈڈکٹ کیے جاتے ہیں اور میکسیمم 2 ایئرز تک کا گیپ الاؤ ہوتا ہے۔"
"پڑھائی وچ ناغہ سال ضائع ہونا نمبر کٹنا پڑھائی وقفہ","Urdu_Parent_Regional","جے بچے نے بارہویں توں بعد پڑھائی چھڈی ہووے، تے ہر اک سال ضائع ہون (ناغے) دے بدلے میرٹ وچوں 2 نمبر کٹ لیندے نیں، بس دو سال تک دی معافی ہوندی اے۔"
"بی ایس پانچویں سمسٹر داخلہ اے ڈی پی بی اے بی ایس سی چودہ سالہ تعلیم","Urdu_Conversational","بی ایس پانچویں سمسٹر کے داخلوں کے لیے میرٹ کا حساب اے ڈی پی، بی اے، بی ایس سی یا مساوی 14 سالہ تعلیم میں حاصل کردہ نمبروں کی بنیاد پر کیا جاتا ہے۔"
"بی ایس ففتھ سمسٹر انٹیک میرٹ اے ڈی پی بی اے بی ایس سی ایکویلنٹ ایجوکیشن","Urdu_Literal","بی ایس 5th سمسٹر انٹیک کے لیے میرٹ اے ڈی پی، بی اے، بی ایس سی یا ایکویلنٹ 14 سالہ ایجوکیشن کے مارکس کی بیس پر بنتا ہے۔"
"بی ایس پنجواں سمسٹر اے ڈی پی چودہ جماعتاں پاس بی اے بی ایس سی میرٹ","Urdu_Parent_Regional","جیہڑے بالاں نے بی ایس دے پنجویں سمسٹر (تیسرے سال) وچ داخلہ لینا اے، اوہناں دا میرٹ اے ڈی پی، بی اے یا بی ایس سی دے چودہ سالہ پڑھائی دے نمبر دیکھ کے بنے گا۔"
