"Category","Language","Information_Text"
"ایڈمیشن فیس آغاز ڈگری ایک بار ادائیگی داخلہ واجبات","Urdu_Conversational","ایڈمیشن فیس ایک بار ادا کی جانے والی فیس ہے جو ڈگری کے آغاز میں ہی جمع کروانا ہوتی ہے۔"
"ایڈمیشن فیس ون ٹائم پیمنٹ اسٹارٹ ڈگری ریکوائرڈ","Urdu_Literal","ایڈمیشن فیس ایک ون ٹائم پیمنٹ ہے جو ڈگری کے اسٹارٹ میں پے کرنی ہوتی ہے۔"
"داخلہ فیس پہلی واری دھرنا شروع پڑھائی پکے پیسے","Urdu_Parent_Regional","داخلہ فیس صرف اکو واری لئی جاندی اے جڈوں بال دی پڑھائی شروع ہوندی اے، اہ بار بار نہیں دینی پیندی۔"
"ٹیوشن فیس تعلیمی اخراجات لازمی ادائیگی ہر سمسٹر","Urdu_Conversational","ٹیوشن فیس تعلیمی اخراجات کے لیے لی جاتی ہے اور یہ ہر سمسٹر میں ادا کرنا لازمی ہے۔"
"ٹیوشن فیس پرائمری چارج اکیڈمک انسٹرکشن پے ایبل سمسٹر","Urdu_Literal","ٹیوشن فیس اکیڈمک انسٹرکشن کا پرائمری چارج ہے جو ہر سمسٹر میں پے ایبل ہوتا ہے۔"
"پڑھائی فیس سمسٹر خرچہ پڑھان دے پیسے لازمی دھرنا","Urdu_Parent_Regional","ٹیوشن فیس اصل وچ پڑھائی دا خرچہ اے جڑا ہر سمسٹر دے شروع وچ لازمی تارنا پیندا اے۔"
"بس کارڈ فیس ٹرانسپورٹ سہولت لازمی طلباء یونیورسٹی گاڑی","Urdu_Conversational","بس کارڈ فیس ان طلباء کے لیے لازمی ہے جو یونیورسٹی کی ٹرانسپورٹ کی سہولت استعمال کرنا چاہتے ہیں۔"
"بس کارڈ فیس مینڈیٹری اسٹوڈنٹس اویل یونیورسٹی ٹرانسپورٹ سروسز","Urdu_Literal","بس کارڈ فیس ان اسٹوڈنٹس کے لیے مینڈیٹری ہے جو یونیورسٹی ٹرانسپورٹ service اویل کرنا چاہتے ہیں۔"
"بس کارڈ فیس لاری خرچہ یونیورسٹی گڈی پکی سہولت","Urdu_Parent_Regional","جیہڑے بالاں نے یونیورسٹی دی لاری یا بس تے آنا جانا اے، اوہناں واسطے بس کارڈ دی فیس دینا لازمی اے۔"
"یوٹیلیٹی چارجز بجلی پانی بنیادی سہولیات کیمپس اخراجات","Urdu_Conversational","یوٹیلیٹی چارجز میں بجلی، پانی اور کیمپس میں فراہم کردہ دیگر بنیادی سہولیات کے اخراجات شامل ہیں۔"
"یوٹیلیٹی چارجز بجلی پانی کیمپس بیسک فیسلٹیز اخراجات","Urdu_Literal","یوٹیلیٹی چارجز میں بجلی، پانی اور کیمپس کی باقی بیسک فیسلٹیز کے اخراجات شامل ہوتے ہیں۔"
"سرکاری خرچے بجلی پانی کیمپس سہولتاں پکھے بتی فیس","Urdu_Parent_Regional","یوٹیلیٹی چارجز دا مطلب اے جڑا یونیورسٹی اندر بالاں نوں بجلی، پانی تے دوجیاں سہولتاں ملدیاں نیں، اوہدا خرچہ۔"
