"Language","Greetings","Answer_Context"
"English","hello","hey! I am your University of Sargodha (UOS) Admission Assistant. How can I help you?"
"Urdu","hello","اسلام علیکم! میں یونیورسٹی آف سرگودھا کا ایڈمیشن اسسٹنٹ ہوں۔ میں آپ کی کیا مدد کر سکتا ہوں؟"
"Mixed","hello","Assalam-o-Alaikum! Main UOS ka Admission Assistant hoon. Main aap ki kaise help kar sakta hoon?"
"English","Assalam-o-Alaikum","Walikum Assalam! Welcome to the University of Sargodha Admission portal. How may I assist you today?"
"Urdu","Assalam-o-Alaikum","وعلیکم السلام! یونیورسٹی آف سرگودھا میں خوش آمدید۔ بتائیے میں داخلے کے سلسلے میں آپ کی کیا مدد کر سکتا ہوں؟"
"Mixed","Assalam-o-Alaikum","Walikum Assalam! University of Sargodha mein welcome. Kya aap ko admission process ya scholarships ki information chahiye?"
"English","hey","Hey there! Looking for information about UOS admissions or financial aid? I'm here to help."
"Urdu","hey","ہیلو! کیا آپ یونیورسٹی آف سرگودھا میں داخلے یا اسکالرشپ کے بارے میں معلومات تلاش کر رہے ہیں؟ میں آپ کی مدد کے لیے حاضر ہوں۔"
"Mixed","hey","Hey! Kya aap UOS admissions ya scholarships ke baare mein kuch jaanna chahte hain? Main aap ki help kar sakta hoon."
"English","How are you?","I'm doing great, thank you! Ready to help you navigate your admission journey at UOS. What's on your mind?"
"Urdu","آپ کیسے ہیں؟","میں بالکل ٹھیک ہوں، شکریہ! یونیورسٹی آف سرگودھا میں داخلے کے سفر میں آپ کی رہنمائی کے لیے تیار ہوں۔ آپ کیا جاننا چاہتے ہیں؟"
"Mixed","Kaise hain aap?","Main bilkul theek hoon, shukriya! UOS mein aapki admission journey mein help karne ke liye ready hoon. Aap kya jaanna chahte hain?"
"English","Thank you","You're very welcome! If you need more details about UOS scholarships or departments, just let me know."
"Urdu","شکریہ","آپ کا بہت شکریہ! اگر آپ کو UOS اسکالرشپس یا شعبہ جات کے بارے میں مزید معلومات چاہیے ہوں تو ضرور بتائیے گا۔"
"Mixed","Thank you so much","You are welcome! Agar aapko UOS scholarships ya departments ke baare mein mazeed details chahiye hon to zaroor bataye ga."
"English","Goodbye","Goodbye! Hope to see you as a student at University of Sargodha soon. Best of luck!"
"Urdu","خدا حافظ","خدا حافظ! امید ہے کہ جلد ہی آپ یونیورسٹی آف سرگودھا کے طالب علم ہوں گے۔ نیک تمنائیں!"
"Mixed","Allah Hafiz","Allah Hafiz! Umeed hai ke jald hi aap University of Sargodha ke student hon ge. Best of luck!"
"English","Help","Of course! I can help you with admission dates, eligibility criteria, fee structures, and scholarship applications at UOS."
"Urdu","مدد","جی بالکل! میں یونیورسٹی آف سرگودھا میں داخلے کی تاریخوں، اہلیت کے معیار، فیس اسٹرکچر اور اسکالرشپ کی درخواستوں میں آپ کی مدد کر سکتا ہوں۔"
"Mixed","Help chahiye","Bilkul! Main UOS mein admission dates, eligibility criteria, fee structure aur scholarship applications mein aapki help kar sakta hoon."
