"Category","Language","Information_Text"
"داخلہ طریقہ کار آن لائن اکاؤنٹ چالان فارم جمع ویب سائٹ","Urdu_Conversational","داخلے کے لیے اپلائی کرنے کا طریقہ یہ ہے کہ یونیورسٹی کی ویب سائٹ پر اپنا اکاؤنٹ بنائیں، اپنی ذاتی اور تعلیمی معلومات درج کریں، بینک میں فیس چالان جمع کروائیں اور فارم فائنل جمع کرنے سے پہلے چالان کی اسکین شدہ تصویر اپ لوڈ کریں۔"
"ہاؤ ٹو اپلائی آن لائن اکاؤنٹ پرسنل اکیڈمک انفو فیس چالان اسکین کاپی سبمٹ","Urdu_Literal","اپلائی کرنے کے لیے یونیورسٹی ویب سائٹ پر اکاؤنٹ بنائیں، اپنی پرسنل اور اکیڈمک انفو فِل کریں، بینک میں فیس چالان ڈپازٹ کریں اور فائنل سبمٹ کرنے سے پہلے اسکین کاپی اپ لوڈ کریں۔"
"داخلہ فارم بھرنا انٹرنیٹ کمپیوٹر اکاؤنٹ فیس بینک چالان فوٹو","Urdu_Parent_Regional","داخلہ بھیجن واسطے یونیورسٹی دی ویب سائٹ تے جا کے اپنا کھاتہ (اکاؤنٹ) بناؤ، فیر بچے دے نمبر تے ناؤ لکھو، بینک وچ فیس دا چالان تار کے اوہدی فوٹو کمپیوٹر تے اپ لوڈ کر دیو۔"
"لازمی دستاویزات اصل ڈگری شناختی کارڈ فارم بیان حلفی داخلہ","Urdu_Conversational","داخلے کی منظوری کے وقت، امیدواروں کے لیے اپنی اصل ٹرمینل ڈگری یا ڈی ایم سی، درخواست فارم، تعلیمی اسناد، امیدوار اور والد یا سرپرست کا شناختی کارڈ اور ایک تصدیق شدہ بیان حلفی جمع کروانا لازمی ہے۔"
"ریکوائرڈ ڈاکومنٹس اوریجنل ٹرمینل ڈگری ڈی ایم سی ایپلیکیشن فارم سی این آئی سی ایفی ڈیوٹ","Urdu_Literal","ایڈمیشن کے وقت کینڈڈیٹس کو اپنی اوریجنل ٹرمینل ڈگری یا ڈی ایم سی، ایپلیکیشن فارم، اکیڈمک ٹیسٹیمونیلز، سی این آئی سی (ایپلی کنٹ اور فادر یا گارڈین) اور ایفی ڈیوٹ جمع کروانا ہوگا۔"
"لازمی کاغذات اصل سنداں شناختی کارڈ دیسی کاپی والد فارم","Urdu_Parent_Regional","داخلے دے ٹائم بچے دیاں اصل سنداں (ڈی ایم سی)، داخلہ فارم، بچے تے اوہدے پیو یا ولی دا شناختی کارڈ تے نال اک کچہری والا بیانِ حلفی یونیورسٹی وچ جمع کروانا پسی۔"
"حاضری پالیسی کلاس شارٹیج سمر سمسٹر امتحان رجسٹریشن","Urdu_Conversational","جس طالب علم کو کلاسوں میں حاضری کی کمی کی وجہ سے فائنل امتحان دینے سے روک دیا گیا ہو، اسے بعد میں سمر سمسٹر کے دوران ان کورسز کی دوبارہ رجسٹریشن کروانے کی اجازت دی جاتی ہے۔"
"اٹینڈنس پالیسی کلاس شارٹیج ایگزام شارٹ سمر سمسٹر کورس رجسٹریشن","Urdu_Literal","اگر اٹینڈنس شارٹ ہونے کی وجہ سے ایگزام دینے سے روکا گیا ہو، تو اسٹوڈنٹ سمر سمسٹر میں ان کورسز کی دوبارہ رجسٹریشن کروا کے اپنی حاضری پوری کر سکتا ہے۔"
"کلاس وچ غیر حاضری گھٹ ہونا پیپر روکنا گرمیاں دی کلاس سمر سمسٹر","Urdu_Parent_Regional","جے کلاس وچ غیر حاضری زیادہ ہون پاروں بچے نوں پیپراں وچ نہ بہن دیا جائے، تے اوہ گرمیاں دیاں چھٹیاں والے (سمر) سمسٹر وچ دوبارہ فیس دے کے اوہ کورس پڑھ سکدا اے۔"
"سیلف فنانس فیس اضافی اخراجات سالانہ فیس سیلف سپورٹ سیشن","Urdu_Conversational","سیلف فنانس کی مخصوص نشستوں پر داخلہ لینے والے طلباء کو عام سیلف سپورٹ (ایوننگ) کی سمسٹر فیس کے علاوہ سالانہ دو لاکھ روپے کی اضافی رقم الگ سے ادا کرنی ہوتی ہے۔"
"سیلف فنانس فیس ایکسٹرا پیمنٹ پر ایئر نارمل سیلف سپورٹ فیس","Urdu_Literal","سیلف فنانس پر ایڈمیشن لینے والے اسٹوڈنٹس کو نارمل سیلف سپورٹ سمسٹر فیس کے علاوہ دو لاکھ روپے پر ایئر ایکسٹرا پے کرنا پڑتا ہے۔"
"سیلف فنانس وڈی فیس دیسی پیسے سالانہ خرچہ دو لاکھ وکھرا","Urdu_Parent_Regional","جیہڑے بال سیلف فنانس والی خاص سیٹ تے داخلہ لیندے نیں، اوہناں نوں شام دی عام فیس توں وکھرا ہر سال دو لاکھ روپیہ پکا یونیورسٹی نوں دینا پیندا اے۔"
"خصوصی امتحان مڈ فائنل طبی بنیاد بیماری حاضری قوانین","Urdu_Conversational","کسی طالب علم کو شدید بیماری یا قابو سے باہر حالات کی صورت میں سپیشل مڈ یا فائنل امتحان دینے کی اجازت دی جا سکتی ہے، بشرطیکہ سمسٹر کے دوران اس کی حاضری کی شرط پوری ہو۔"
